1,63,1,1,10,10,2024-04-23 03:31:17,2024-04-23 03:31:17
1,234,2,1,8,8,2024-04-23 03:31:17,2024-04-23 03:31:17
1,222,4,1,1,0,2024-04-23 03:31:17,2024-04-23 03:31:17
1,118,3,1,5,5,2024-04-23 03:31:17,2024-04-23 03:31:17
1,157,5,1,2,0,2024-04-23 03:31:17,2024-04-23 03:31:17
1,21,6,1,3,3,2024-04-23 03:31:17,2024-04-23 03:31:17
1,166,7,1,4,0,2024-04-23 03:31:17,2024-04-23 03:31:17
1,243,8,1,6,6,2024-04-23 03:31:17,2024-04-23 03:31:17
1,233,9,1,7,7,2024-04-23 03:31:17,2024-04-23 03:31:17
1,162,10,1,9,9,2024-04-23 03:31:17,2024-04-23 03:31:17
2,63,1,1,9,9,2024-04-23 03:31:17,2024-04-23 03:31:17
2,234,2,1,8,8,2024-04-23 03:31:17,2024-04-23 03:31:17
2,101,4,1,6,6,2024-04-23 03:31:17,2024-04-23 03:31:17
2,118,3,1,5,5,2024-04-23 03:31:17,2024-04-23 03:31:17
2,157,5,1,3,0,2024-04-23 03:31:17,2024-04-23 03:31:17
2,21,6,1,4,4,2024-04-23 03:31:17,2024-04-23 03:31:17
2,16,7,1,2,2,2024-04-23 03:31:17,2024-04-23 03:31:17
2,170,8,1,1,0,2024-04-23 03:31:17,2024-04-23 03:31:17
2,233,9,1,7,7,2024-04-23 03:31:17,2024-04-23 03:31:17
2,162,10,1,10,10,2024-04-23 03:31:17,2024-04-23 03:31:17
3,63,1,1,7,7,2024-04-23 03:31:17,2024-04-23 03:31:17
3,234,2,1,3,3,2024-04-23 03:31:17,2024-04-23 03:31:17
3,101,4,1,8,8,2024-04-23 03:31:17,2024-04-23 03:31:17
3,118,3,1,4,4,2024-04-23 03:31:17,2024-04-23 03:31:17
3,201,5,1,5,5,2024-04-23 03:31:17,2024-04-23 03:31:17
3,67,6,1,6,0,2024-04-23 03:31:17,2024-04-23 03:31:17
3,166,7,1,1,0,2024-04-23 03:31:17,2024-04-23 03:31:17
3,170,8,1,2,0,2024-04-23 03:31:17,2024-04-23 03:31:17
3,233,9,1,9,9,2024-04-23 03:31:17,2024-04-23 03:31:17
3,162,10,1,10,10,2024-04-23 03:31:17,2024-04-23 03:31:17
4,63,1,1,7,7,2024-04-23 03:31:17,2024-04-23 03:31:17
4,234,2,1,8,8,2024-04-23 03:31:17,2024-04-23 03:31:17
4,101,4,1,9,9,2024-04-23 03:31:17,2024-04-23 03:31:17
4,118,3,1,6,6,2024-04-23 03:31:17,2024-04-23 03:31:17
4,157,5,1,2,0,2024-04-23 03:31:17,2024-04-23 03:31:17
4,21,6,1,4,4,2024-04-23 03:31:17,2024-04-23 03:31:17
4,166,7,1,5,0,2024-04-23 03:31:17,2024-04-23 03:31:17
4,170,8,1,3,0,2024-04-23 03:31:17,2024-04-23 03:31:17
4,69,9,1,1,0,2024-04-23 03:31:17,2024-04-23 03:31:17
4,162,10,1,10,10,2024-04-23 03:31:17,2024-04-23 03:31:17
5,63,1,1,7,7,2024-04-23 03:31:17,2024-04-23 03:31:17
5,234,2,1,4,4,2024-04-23 03:31:17,2024-04-23 03:31:17
5,101,4,1,9,9,2024-04-23 03:31:17,2024-04-23 03:31:17
5,118,3,1,3,3,2024-04-23 03:31:17,2024-04-23 03:31:17
5,201,5,1,5,5,2024-04-23 03:31:17,2024-04-23 03:31:17
5,67,6,1,6,0,2024-04-23 03:31:17,2024-04-23 03:31:17
